tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	cooling_rate	cooling_rate_corr	cooling_rate_mcd	description	dip	geologic_classes	geologic_types	height	igsn	lat	lithologies	location	lon	method_codes	orientation_quality	sample	sample_alternatives	scientists	site	texture	timestamp
137.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-59.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002b			16tr002		3916:5:24
143.0		52.2	44.2	This study					-57.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002c			16tr002		3916:5:24
140.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-57.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002c			16tr002		3916:5:24
150.0		52.2	44.2	This study					-68.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002d			16tr002		3916:5:24
147.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-68.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002d			16tr002		3916:5:24
147.0		52.2	44.2	This study					-62.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002e			16tr002		3916:5:24
144.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-62.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002e			16tr002		3916:5:24
143.0		52.2	44.2	This study					-69.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002f			16tr002		3916:5:24
140.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-69.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002f			16tr002		3916:5:24
125.0		52.2	44.2	This study					-70.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002g			16tr002		3916:5:24
122.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-70.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002g			16tr002		3916:5:24
112.0		52.2	44.2	This study					-78.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002h			16tr002		3916:5:24:15:16
109.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-78.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002h			16tr002		3916:5:24:15:16
107.7		52.2	44.2	This study					-78.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr002h			16tr002		3916:5:24:15:16
112.0		52.2	44.2	This study					-70.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr002i			16tr002		3916:5:24
109.3	357.3	52.2	44.2	This study				Declination correction calculated from IGRF	-70.0					27.99994			108.79988	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr002i			16tr002		3916:5:24
113.0		52.2	50.1	This study					-32.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003a			16tr003		3916:5:24:16:7
110.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-32.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003a			16tr003		3916:5:24:16:7
103.2		52.2	50.1	This study					-32.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003a			16tr003		3916:5:24:16:7
118.0		52.2	50.1	This study					-37.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003b			16tr003		3916:5:24:16:11
115.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-37.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003b			16tr003		3916:5:24:16:11
107.8		52.2	50.1	This study					-37.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003b			16tr003		3916:5:24:16:11
116.0		52.2	50.1	This study					-76.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003c			16tr003		3916:5:24:16:15
113.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-76.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003c			16tr003		3916:5:24:16:15
105.4		52.2	50.1	This study					-76.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003c			16tr003		3916:5:24:16:15
113.0		52.2	50.1	This study					-58.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003d			16tr003		3916:5:24:16:17
110.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-58.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003d			16tr003		3916:5:24:16:17
102.2		52.2	50.1	This study					-58.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003d			16tr003		3916:5:24:16:17
114.0		52.2	50.1	This study					-63.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003e			16tr003		3916:5:24:16:18
111.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-63.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003e			16tr003		3916:5:24:16:18
102.0		52.2	50.1	This study					-63.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003e			16tr003		3916:5:24:16:18
101.0		52.2	50.1	This study					-59.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003f			16tr003		3916:5:24:16:21
98.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-59.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003f			16tr003		3916:5:24:16:21
89.7		52.2	50.1	This study					-59.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003f			16tr003		3916:5:24:16:21
118.0		52.2	50.1	This study					-47.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003g			16tr003		3916:5:24:16:23
115.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-47.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003g			16tr003		3916:5:24:16:23
105.5		52.2	50.1	This study					-47.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003g			16tr003		3916:5:24:16:23
120.0		52.2	50.1	This study					-53.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003h			16tr003		3916:5:24:16:24
117.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-53.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003h			16tr003		3916:5:24:16:24
107.4		52.2	50.1	This study					-53.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003h			16tr003		3916:5:24:16:24
104.0		52.2	50.1	This study					-49.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003i			16tr003		3916:5:24:16:25
101.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-49.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003i			16tr003		3916:5:24:16:25
92.3		52.2	50.1	This study					-49.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003i			16tr003		3916:5:24:16:25
106.0		52.2	50.1	This study					-51.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003j			16tr003		3916:5:24:16:27
103.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-51.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003j			16tr003		3916:5:24:16:27
94.1		52.2	50.1	This study					-51.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003j			16tr003		3916:5:24:16:27
112.0		52.2	50.1	This study					-55.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr003k			16tr003		3916:5:24:16:30
109.3	357.3	52.2	50.1	This study				Declination correction calculated from IGRF	-55.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr003k			16tr003		3916:5:24:16:30
97.8		52.2	50.1	This study					-55.0					27.99966			108.79978	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-SUN	g	16tr003k			16tr003		3916:5:24:16:30
302.0		30.2	261.1	This study					-36.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004a			16tr004		3916:5:25
299.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-36.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004a			16tr004		3916:5:25
312.0		30.2	261.1	This study					-55.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004b			16tr004		3916:5:25
309.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-55.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004b			16tr004		3916:5:25
314.0		30.2	261.1	This study					-51.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004c			16tr004		3916:5:25
311.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-51.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004c			16tr004		3916:5:25
303.0		30.2	261.1	This study					-42.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004d			16tr004		3916:5:25
300.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-42.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004d			16tr004		3916:5:25
277.0		30.2	261.1	This study					-55.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004e			16tr004		3916:5:25
274.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-55.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004e			16tr004		3916:5:25
284.0		30.2	261.1	This study					-42.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004f			16tr004		3916:5:25
281.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-42.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004f			16tr004		3916:5:25
279.0		30.2	261.1	This study					-52.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004g			16tr004		3916:5:25
276.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-52.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004g			16tr004		3916:5:25
323.0		30.2	261.1	This study					-35.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004h			16tr004		3916:5:25
320.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-35.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004h			16tr004		3916:5:25
272.0		30.2	261.1	This study					-36.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004i			16tr004		3916:5:25
269.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-36.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004i			16tr004		3916:5:25
270.0		30.2	261.1	This study					-50.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004j			16tr004		3916:5:25
267.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-50.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004j			16tr004		3916:5:25
304.0		30.2	261.1	This study					-38.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004k			16tr004		3916:5:25
301.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-38.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004k			16tr004		3916:5:25
285.0		30.2	261.1	This study					-47.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004m			16tr004		3916:5:25
282.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-47.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004m			16tr004		3916:5:25
286.0		30.2	261.1	This study					-41.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004n			16tr004		3916:5:25
283.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-41.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004n			16tr004		3916:5:25
270.0		30.2	261.1	This study					-52.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004p			16tr004		3916:5:25
267.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-52.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004p			16tr004		3916:5:25
338.0		30.2	261.1	This study					-72.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004q			16tr004		3916:5:25
335.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-72.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004q			16tr004		3916:5:25
288.0		30.2	261.1	This study					-46.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004r			16tr004		3916:5:25
285.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-46.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004r			16tr004		3916:5:25
296.0		30.2	261.1	This study					-46.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004s			16tr004		3916:5:25
293.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-46.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004s			16tr004		3916:5:25
296.0		30.2	261.1	This study					-43.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004t			16tr004		3916:5:25
293.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-43.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004t			16tr004		3916:5:25
300.0		30.2	261.1	This study					-43.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004u			16tr004		3916:5:25
297.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-43.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004u			16tr004		3916:5:25
302.0		30.2	261.1	This study					-42.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004v			16tr004		3916:5:25
299.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-42.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004v			16tr004		3916:5:25
301.0		30.2	261.1	This study					-33.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004x			16tr004		3916:5:25
298.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-33.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004x			16tr004		3916:5:25
310.0		30.2	261.1	This study					-43.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr004y			16tr004		3916:5:25
307.3	357.3	30.2	261.1	This study				Declination correction calculated from IGRF	-43.0					27.83472			108.79749	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr004y			16tr004		3916:5:25
83.0		44.3	29.9	This study					-73.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006a			16tr006		3916:5:26
80.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-73.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006a			16tr006		3916:5:26
124.0		44.3	29.9	This study					-65.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006aa			16tr006a		3916:5:26
121.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-65.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006aa			16tr006a		3916:5:26
127.0		44.3	29.9	This study					-87.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006b			16tr006		3916:5:26
124.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-87.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006b			16tr006		3916:5:26
126.0		44.3	29.9	This study					-86.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006c			16tr006		3916:5:26
123.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-86.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006c			16tr006		3916:5:26
111.0		44.3	29.9	This study					-83.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006d			16tr006		3916:5:26
108.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-83.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006d			16tr006		3916:5:26
105.0		44.3	29.9	This study					-88.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006e			16tr006		3916:5:26
102.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-88.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006e			16tr006		3916:5:26
109.0		44.3	29.9	This study					-74.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006f			16tr006		3916:5:26
106.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-74.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006f			16tr006		3916:5:26
125.0		44.3	29.9	This study					-89.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006g			16tr006		3916:5:26
122.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-89.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006g			16tr006		3916:5:26
95.0		44.3	29.9	This study					-88.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006h			16tr006		3916:5:26
92.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-88.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006h			16tr006		3916:5:26
114.0		44.3	29.9	This study					-81.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006i			16tr006		3916:5:26
111.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-81.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006i			16tr006		3916:5:26
129.0		44.3	29.9	This study					-72.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006j			16tr006		3916:5:26
126.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-72.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006j			16tr006		3916:5:26
96.0		44.3	29.9	This study					-66.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006k			16tr006		3916:5:26
93.3	357.3	44.3	29.9	This study				Declination correction calculated from IGRF	-66.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-CMD-NORTH	g	16tr006k			16tr006		3916:5:26
100.0		44.3	29.9	This study					-79.0					27.99142			108.79719	FS-FD:FS-LOC-GPS:SO-MAG:SO-SM:SO-MAG	g	16tr006l			16tr006		3916:5:26
