X,Y,n27_e108_1,n28_e108_1,localityId,localityNa,dataId,x,y,latitude,longitude,zone,altitude,horiz_prec,vert_preci,planeType,dip,dipAzimuth,strike,declinatio,unitId,timedate,notes
108.79973534,27.99969231,1143.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,25452abbc8a81b9e766ffa7b4653ff65,283633.860359120008070,3099119.274326660204679,27.999692310000000,108.799735339999998,49R,4.000000000000000,5.000000000000000,-1.000000000000000,Bedding,50.495986940000002,51.238037110000000,321.238037109999993,-2.724914550000000,Wuqiangxi Fm,Tue May 24 01:55:20 2016,
108.81422756,28.03069374,,1245.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,ace4f3e926a17e3856ff46113b5af9b9,285120.956649750005454,3102529.248379449825734,28.030693740000000,108.814227560000006,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,41.404556270000000,59.054634090000000,329.054626460000009,-2.724914550000000,Datangpo,Mon May 23 21:20:43 2016,Dark grey siltstone
108.81554352,28.02522241,,1272.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,0e06bcc67f69948c7f41ffca780502f5,285239.493106629990507,3101920.590586570091546,28.025222410000001,108.815543520000006,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,51.109569550000003,51.354213710000003,321.354217530000028,-2.724914550000000,Wuqiangxi Fm,Mon May 23 21:12:32 2016,
108.81517245,28.02459876,,1281.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,3138dba834f3dd844fa51a2f032bd8b0,285201.763554700009990,3101852.130629499908537,28.024598760000000,108.815172450000006,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,13.857209210000001,44.682201390000003,314.682189940000001,-2.724914550000000,Wuqiangxi Fm,Mon May 23 21:09:17 2016,Green tan very fine sandstone with ashes
108.81469921,28.02317689,,1278.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,eb2da3c7fa0074ca7c06526fd46260be,285152.399639779992867,3101695.392768640071154,28.023176889999998,108.814699210000001,49R,4.000000000000000,5.000000000000000,-1.000000000000000,Bedding,37.623908999999998,87.925476070000002,357.925476070000002,-2.724914550000000,Wuqiangxi Fm,Mon May 23 21:05:18 2016,Red purple siltstone with similar appearance to yesterday's lithology
108.81533423,28.02130161,,1297.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,c56160bd8f365cb07480be15aaace702,285211.123204950010404,3101486.452971539925784,28.021301609999998,108.815334230000005,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,31.032810210000001,19.702934270000000,289.702941889999977,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:59:46 2016,Red purple siltstone. Cleavage quite minor. Coloration similar to siltstones of yesterday.
108.8148091,28.02098385,,1297.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,ea00ef930c7dbb7135ca236dddfc76a1,285158.849246099998709,3101452.164438600186259,28.020983850000000,108.814809100000005,49R,8.000000000000000,5.000000000000000,-1.000000000000000,Bedding,27.478950500000000,18.099683760000001,288.099670409999987,-2.724914550000000,Fulu Fm,Mon May 23 20:54:44 2016,Massive fine sandstone
108.80937427,28.01772187,,1279.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,80f43212e05bcc99278a94283e464631,284617.871767139993608,3101100.261130250059068,28.017721869999999,108.809374270000006,49R,16.000000000000000,5.000000000000000,-1.000000000000000,Bedding,20.465814590000001,51.923915860000001,321.923919679999983,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:46:41 2016,Tan very fine to fine sandstone
108.80890623,28.01547342,,1264.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,5a77af8b1aa276289fd7213763361897,284567.362762150005437,3100851.913409720174968,28.015473419999999,108.808906230000005,49R,3.000000000000000,5.000000000000000,-1.000000000000000,Bedding,17.057132719999998,354.040496829999995,264.040496829999995,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:37:20 2016,Purple siltstone with very fine sandstone stringers. Nice red purple color
108.80887748,28.01547023,,1264.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,035d07152d8c2af7ba220a568fc64c39,284564.528893759998027,3100851.611246279906482,28.015470229999998,108.808877480000007,49R,3.000000000000000,5.000000000000000,-1.000000000000000,Bedding,38.284057619999999,52.295928959999998,322.295928960000026,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:35:25 2016,Purple siltstone some green reduction
108.80827054,28.01550854,,1255.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,b52532a19a28d53bdf23d3089a84bf87,284504.913922399980947,3100856.929177380166948,28.015508539999999,108.808270539999995,49R,3.000000000000000,5.000000000000000,-1.000000000000000,Bedding,39.878837590000003,234.402999880000010,144.402999880000010,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:33:21 2016,Overturned
108.80823551,28.0154779,,1255.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,5f19969ccbfcc84845a0260f7c20139e,284501.407101019984111,3100853.596025730017573,28.015477900000000,108.808235510000003,49R,3.000000000000000,5.000000000000000,-1.000000000000000,Bedding,87.873779299999995,62.236434940000002,332.236450199999979,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:32:53 2016,
108.80818597,28.01546898,,1255.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,af7a25dc202c3f02a046139cea1a9bd4,284496.517399679985829,3100852.694340120069683,28.015468980000001,108.808185969999997,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,42.114707950000003,44.763370510000001,314.763366700000006,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:30:33 2016,Thin fissile purple shales
108.80409309,28.01332845,,1230.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,42aa302917ed778cf2bcd1c425b03aea,284089.713922009977978,3100622.721712159924209,28.013328449999999,108.804093089999995,49R,12.000000000000000,5.000000000000000,-1.000000000000000,Bedding,24.921371460000000,15.426361080000000,285.426361079999992,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:22:19 2016,
108.80371397,28.01193035,,1224.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,06e48de3eb922f1cf63f5829fb80f8fd,284049.636881859973073,3100468.454086670186371,28.011930350000000,108.803713970000004,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,29.300247190000000,35.911945340000003,305.911956789999977,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:17:55 2016,Green very fine sandstone with purple stringers of siltstone. Survey said that Member 6 is this interlayered siltstone and sandstone
108.80407783,28.01165685,,1238.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,2c4b51c7973b6df2be2330eb5b6d7ede,284084.877365769993048,3100437.499817430041730,28.011656850000001,108.804077829999997,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,31.742006300000000,26.740459439999999,296.740448000000015,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:15:10 2016,Green siltstone
108.80400089,28.01132136,,1220.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,e2b0e7b595c1030a239565dfd7711add,284076.639972540026065,3100400.457211819943041,28.011321360000000,108.804000889999998,49R,3.000000000000000,5.000000000000000,-1.000000000000000,Bedding,34.753246310000002,47.853393550000000,317.853393550000021,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:13:49 2016,Purple siltstone
108.80318063,28.01071045,,1213.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,dc9c6861dd363e14910acb6a1e7bb1e2,283994.745986460009590,3100334.208068210165948,28.010710450000001,108.803180630000000,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,38.319458009999998,35.805671689999997,305.805664060000026,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:11:48 2016,Tan siltstone
108.80214086,28.00806185,,1247.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,148c6c6e8d1bb78862270943a107a57e,283887.190233409986831,3100042.530222429893911,28.008061850000001,108.802140859999994,49R,96.000000000000000,30.000000000000000,-1.000000000000000,Bedding,28.693189619999998,51.867851260000002,321.867858889999980,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:08:12 2016,
108.80206333,28.00795058,,1229.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,2f7c98a6bbe81c02f2106a451e64ac8e,283879.342196939978749,3100030.336618630215526,28.007950579999999,108.802063329999996,49R,24.000000000000000,10.000000000000000,-1.000000000000000,Bedding,32.765861510000001,51.419063569999999,321.419067380000001,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:04:51 2016,Purple siltstone
108.80108876,28.00720832,,1210.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,220116c3fb2a46ade3bc90d2fa1bc52c,283782.004748029983602,3099949.806532009970397,28.007208320000000,108.801088759999999,49R,12.000000000000000,5.000000000000000,-1.000000000000000,Bedding,41.265453340000001,324.765106199999991,234.765106199999991,-2.724914550000000,Wuqiangxi Fm,Mon May 23 20:01:26 2016,Pea soup green siltstone
108.80131876,28.00698813,,1214.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,3c8e63444f456939f993a1c12f97e4d9,283804.186804620025214,3099924.996662789955735,28.006988130000000,108.801318760000001,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Fault,74.549262999999996,276.010406489999980,186.010406490000008,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:58:37 2016,
108.80218243,28.00647172,,1264.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,69dd649169c76269107a56e68953fa47,283888.103507380001247,3099866.236429779790342,28.006471720000000,108.802182430000002,49R,12.000000000000000,10.000000000000000,-1.000000000000000,Bedding,40.049060820000001,4.776612760000000,274.776611329999980,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:55:18 2016,Green grey very fine sandstone
108.80092775,28.00561794,,1192.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,8d648a601e3b35d891980e21e63a4393,283762.989673310017679,3099773.844066679943353,28.005617940000000,108.800927750000000,49R,4.000000000000000,5.000000000000000,-1.000000000000000,Bedding,35.657714839999997,341.729278560000012,251.729278560000012,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:52:10 2016,
108.80097033,28.00394323,,1176.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,c47a8e37f9045431e38a28973e2d6103,283763.831489739997778,3099588.175906090065837,28.003943230000001,108.800970329999998,49R,4.000000000000000,5.000000000000000,-1.000000000000000,Bedding,40.425796509999998,40.327495570000004,310.327484130000016,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:43:08 2016,Purple siltstone with weak cleavage
108.79970994,28.00176146,,1161.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,5e5b97bf058b0662b6115b3d782479c1,283635.498473869985901,3099348.625689229927957,28.001761460000001,108.799709940000000,49R,3.000000000000000,5.000000000000000,-1.000000000000000,Bedding,56.987602230000000,50.607849119999997,320.607849120000026,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:36:35 2016,Purple siltstone
108.80013574,28.00091372,,1155.00000,5b601ef6b0bc139e85dcb33849833f65,Locality 1,2bfcc766852620fa17c5e51f2677b54c,283675.686613339988980,3099253.922113589942455,28.000913720000000,108.800135740000002,49R,4.000000000000000,5.000000000000000,-1.000000000000000,Bedding,53.962139129999997,45.515384670000003,315.515380859999993,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:33:52 2016,Purple siltstone. Member 4 of Hongzixi.
108.79778654,27.99584577,1068.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,73677ae3e66472ab6ee9974b78b20466,283434.474696089979261,3098696.455427739769220,27.995845769999999,108.797786540000004,49R,6.000000000000000,5.000000000000000,-1.000000000000000,Bedding,43.425258640000003,8.331346509999999,278.331359860000020,-2.724914550000000,Wuqiangxi Fm,Mon May 23 19:29:32 2016,Green siltstones and very fine sandstone. Survey said was Member 3 of Hongzixi.
108.79732931,27.88285755,589.00000,,5b601ef6b0bc139e85dcb33849833f65,Locality 1,1c8a7d3d805ab34c1078d35a70ec7287,283163.845531660015695,3086175.867349970154464,27.882857550000001,108.797329309999995,49R,24.000000000000000,5.000000000000000,-1.000000000000000,Bedding,36.801883699999998,128.077316279999991,38.077316279999998,-2.724914550000000,Wuqiangxi Fm,Mon May 23 18:42:40 2016,Green siltstone to very fine sandstone
