Name          Field         Freq.         Km            L             F             P             Pj            T             U             K1dec         K1inc         K2dec         K2inc         K3dec         K3inc         K11           K22           K33           K12           K23           K13
16TR031H1      200          F1             343.2503      1.026         1.014         1.04          1.041        -0.294        -0.303         17.3          6.5           111.5         32.8          277.4         56.4          1.01922       0.99408       0.9867        0.00781       0.0072        0.00195 
16TR031I2      200          F1             298.1005      1.032         1.017         1.05          1.051        -0.312        -0.322         11.4          4.1           103.8         30.3          274.5         59.4          1.0255        0.99177       0.98272       0.00655       0.00766       0.00168 
16TR031J2      200          F1             313.3349      1.028         1.016         1.045         1.045        -0.262        -0.272         187.3         0.7           96.9          26.2          278.7         63.8          1.02339       0.99343       0.98318       0.00396       0.00621      -0.00128 
16TR031L1      200          F1             275.7062      1.027         1.02          1.048         1.048        -0.141        -0.152         8.5           7.3           101.9         25            263.4         63.9          1.02336       0.99444       0.9822        0.0034        0.00824       0.00423 
16TR031M2      200          F1             315.5282      1.023         1.021         1.044         1.044        -0.035        -0.046         186.5         0.2           96.4          23.9          277           66.1          1.02172       0.99628       0.98199       0.00298       0.00761      -0.00102 
16TR031N2      200          F1             341.6188      1.031         1.023         1.054         1.054        -0.144        -0.157         11.9          8.3           103.5         11.1          245.8         76            1.02567       0.99743       0.97691       0.00554       0.00567       0.00643 
16TR031P1      200          F1             287.8498      1.028         1.012         1.04          1.041        -0.386        -0.394         13.4          10            108.3         25.7          263.8         62.2          1.02009       0.99365       0.98625       0.00576       0.00602       0.00514 
16TR031Q2      200          F1             336.8764      1.029         1.019         1.049         1.049        -0.222        -0.233         11.6          8             104.2         18            258.7         70.1          1.02382       0.99544       0.98073       0.00526       0.00653       0.00511 
16TR031R2      200          F1             338.2308      1.024         1.024         1.048         1.048         0.005        -0.006         6.2           6             99.7          30.5          266.2         58.8          1.02313       0.9939        0.98297       0.0021        0.01065       0.00312 
16TR031S1      200          F1             303.5108      1.027         1.021         1.049         1.049        -0.113        -0.125         9.2           7.7           101.8         18.4          257.4         70            1.02356       0.99636       0.98008       0.00366       0.00712       0.00497 
16TR031T1      200          F1             289.2664      1.026         1.024         1.051         1.051        -0.036        -0.049         11            6.6           102.7         13.9          256.1         74.6          1.02371       0.99857       0.97772       0.0044        0.00641       0.00435 
16TR031U1      200          F1             343.8804      1.032         1.019         1.052         1.053        -0.247        -0.259         11.7          2.5           103           28.2          277           61.7          1.0263        0.99271       0.98099       0.00687       0.00813       0.00044 
16TR031V1      200          F1             333.698       1.035         1.019         1.055         1.055        -0.296        -0.308         18.4          6.8           111.1         21.7          271.9         67.1          1.02548       0.99516       0.97936       0.01038       0.0079        0.0037 
16TR031W1      200          F1             266.2172      1.023         1.023         1.046         1.046        -0.006        -0.017         8.5           4.8           100.6         23.8          267.8         65.7          1.02215       0.99647       0.98138       0.00322       0.00865       0.00221 
16TR031X1      200          F1             334.2799      1.025         1.018         1.043         1.043        -0.164        -0.174         7             5.4           99.5          24.3          265.3         65            1.02157       0.99487       0.98357       0.00272       0.00689       0.00284 
16TR031Y1      200          F1             357.3727      1.025         1.021         1.047         1.047        -0.083        -0.095         7.6           0.3           97.7          22.1          276.9         67.9          1.02322       0.99608       0.9807        0.00366       0.00722      -0.00073 
16TR031Z1      200          F1             298.7928      1.033         1.024         1.058         1.059        -0.147        -0.161         174.5         8.2           82.7          12.5          296.8         75            1.02863       0.99597       0.9754       -0.00243       0.00576      -0.00729 
16TR033A2      200          F1             343.5384      1.034         1.032         1.067         1.067        -0.034        -0.051         5.4           2.8           95.9          10            259.9         79.6          1.0326        0.99823       0.96917       0.00302       0.00556       0.00263 
16TR033B1      200          F1             367.8722      1.029         1.026         1.056         1.056        -0.045        -0.059         11.4          4.9           102.3         10.4          256.6         78.5          1.02645       0.99908       0.97448       0.00533       0.00538       0.00357 
16TR033C1      200          F1             364.3634      1.033         1.029         1.063         1.063        -0.052        -0.067         12.7          11.5          104.6         9.6           233.7         74.9          1.02766       0.99889       0.97345       0.00576       0.00713       0.01039 
16TR033D1      200          F1             350.799       1.033         1.028         1.062         1.062        -0.077        -0.092         3.2           18.6          97.2          11.7          217.7         67.8          1.02519       0.99677       0.97804      -0.00025       0.00642       0.01752 
16TR033E2      200          F1             365.1487      1.034         1.025         1.06          1.06         -0.143        -0.157         145.7         85.5          285.8         3.5           16            2.9           0.97433       0.99512       1.03055      -0.00663       0.00116      -0.00341 
16TR033F1      200          F1             365.2779      1.033         1.022         1.055         1.056        -0.198        -0.211         12.8          6.3           104.6         16.2          262.2         72.6          1.02689       0.99591       0.9772        0.00671       0.00681       0.0043 
16TR033G1      200          F1             342.4538      1.032         1.024         1.056         1.057        -0.139        -0.153         13.6          8.5           106           15.7          256.1         72            1.02636       0.99682       0.97682       0.00656       0.00773       0.00615 
16TR033H1      200          F1             338.6871      1.03          1.023         1.054         1.054        -0.12         -0.133         189.3         6.5           96.6          22            294.8         66.9          1.02563       0.99556       0.97881       0.00601       0.00691      -0.00676 
16TR033I1      200          F1             335.1962      1.031         1.02          1.052         1.053        -0.211        -0.223         9.8           4.7           101.8         23.3          269           66.2          1.02626       0.99387       0.97987       0.00511       0.00774       0.00264 
16TR033J2      200          F1             346.1505      1.031         1.022         1.053         1.054        -0.154        -0.166         9.6           2.7           100.5         17.1          270.8         72.7          1.02661       0.99603       0.97736       0.00503       0.00641       0.00135 
16TR033K2      200          F1             324.6385      1.027         1.024         1.052         1.052        -0.063        -0.076         12.9          6.3           105.2         19.5          265.8         69.4          1.02419       0.99719       0.97862       0.00564       0.00833       0.00345 
16TR033L1      200          F1             330.3849      1.037         1.017         1.055         1.056        -0.366        -0.378         10.2          9.2           103.1         17.1          253           70.5          1.02804       0.99265       0.97931       0.00578       0.00609       0.00731 
16TR033M1      200          F1             360.5179      1.031         1.016         1.048         1.048        -0.299        -0.31          17.2          2.4           108.3         24.3          281.9         65.6          1.02289       0.99523       0.98188       0.00919       0.00631      -0.00002 
16TR033N1      200          F1             350.2667      1.033         1.017         1.05          1.051        -0.326        -0.337         16.8          8.4           109.1         15.2          258.7         72.6          1.02391       0.99576       0.98034       0.00862       0.00595       0.00546 
16TR033P1      200          F1             350.4397      1.03          1.02          1.051         1.051        -0.185        -0.196         18.7          14            114.8         22.8          259.6         62.8          1.02161       0.99561       0.98278       0.00773       0.01018       0.00806 
16TR033Q1      200          F1             344.7869      1.031         1.018         1.05          1.051        -0.261        -0.273         16.9          12.9          112.3         22.4          259.2         63.8          1.02262       0.99469       0.98268       0.00763       0.00892       0.00782 
16TR033R1      200          F1             288.6482      1.028         1.02          1.049         1.05         -0.163        -0.174         16.7          7.1           109.3         19.8          268           68.9          1.02281       0.99692       0.98027       0.00761       0.0077        0.00355 
16TR033S1      200          F1             300.4291      1.028         1.021         1.05          1.05         -0.135        -0.147         193.9         0.6           103.6         26.3          285.1         63.6          1.02372       0.9954        0.98089       0.00757       0.00792      -0.00246 
16TR033V2      200          F1             328.507       1.03          1.016         1.047         1.048        -0.303        -0.314         15.1          5.3           107.8         26.7          274.7         62.7          1.02315       0.9939        0.98295       0.00782       0.00715       0.00216 
16TR033W1      200          F1             193.3599      1.03          1.014         1.044         1.045        -0.378        -0.388         17.1          13.3          115.1         30.3          266.3         56.3          1.02047       0.99277       0.98677       0.00777       0.00813       0.00687 
16TR033X1      200          F1             324.3738      1.03          1.02          1.051         1.051        -0.208        -0.22          9.3           1.7           100.2         28.4          276.1         61.6          1.02562       0.99285       0.98153       0.00527       0.00816       0.00003 
16TR033Y1      200          F1             346.9179      1.034         1.011         1.045         1.047        -0.502        -0.51          192.6         3.2           101.7         15.6          293.8         74.1          1.02418       0.99334       0.98248       0.00742       0.00222      -0.00296 
16TR033Z1      200          F1             348.0374      1.031         1.014         1.045         1.046        -0.377        -0.387         15.7          4.8           108.2         27.5          276.6         62.1          1.02235       0.99362       0.98402       0.00822       0.00623       0.0018 
16TR037A2      200          F1             374.5854      1.026         1.034         1.061         1.061         0.142         0.127         13.1          1.9           103.7         18.6          277.6         71.3          1.02687       1.00045       0.97268       0.00612       0.01023      -0.00051 
16TR037B1      200          F1             362.6953      1.023         1.023         1.046         1.046        -0.009        -0.021         12.8          11.2          112.7         40.9          270.6         46.9          1.02068       0.9905        0.98882       0.00486       0.01194       0.00416 
16TR037C1      200          F1             301.7966      1.017         1.02          1.037         1.037         0.082         0.073         195.8         3.2           101.4         54.8          288.1         35            1.0151        0.99036       0.99453       0.00823       0.00842      -0.00372 
16TR037D1      200          F1             387.9841      1.029         1.04          1.07          1.071         0.149         0.133         195.6         1.3           105           23.5          288.7         66.4          1.02962       0.99961       0.97076       0.00949       0.01316      -0.00517 
16TR037E1      200          F1             303.5872      1.012         1.021         1.034         1.034         0.27          0.262         15.5          8.8           131.7         70.7          282.8         17            1.0131        0.9855        1.0014        0.00723       0.00622       0.00048 
16TR037F1      200          F1             344.6207      1.015         1.017         1.032         1.032         0.054         0.047         20.3          5.3           133           76.4          289.1         12.4          1.01176       0.98838       0.99986       0.00956       0.00371       0.00017 
16TR037G1      200          F1             221.2617      1.02          1.011         1.031         1.031        -0.286        -0.294         9.3           3.2           106.1         64.6          277.8         25.2          1.01607       0.98882       0.99511       0.00435       0.0043        0.00052 
16TR037H2      200          F1             299.385       1.028         1.015         1.043         1.044        -0.285        -0.295         187           0.4           96.7          36.1          277.4         53.9          1.0229        0.99108       0.98601       0.00398       0.00707      -0.00109 
16TR037I1      200          F1             391.6025      1.026         1.025         1.051         1.051        -0.028        -0.04          16.9          7.6           111.6         31.8          274.9         57.1          1.02268       0.99444       0.98287       0.00771       0.01191       0.00234 
16TR037J1      200          F1             355.2136      1.036         1.037         1.075         1.075         0.012        -0.006         194.4         0.2           104.4         14.2          285.1         75.8          1.03361       1.0001        0.96629       0.00926       0.00819      -0.00231 
16TR037K1      200          F1             307.9388      1.026         1.023         1.05          1.05         -0.061        -0.073         20.6          3.2           112.3         28.1          284.7         61.7          1.02152       0.99727       0.9812        0.00993       0.00971      -0.00105 
16TR037L1      200          F1             284.9366      1.03          1.045         1.077         1.077         0.206         0.188         13.5          1.9           104.2         21.1          278.7         68.8          1.03267       1.00066       0.96666       0.00762       0.01476      -0.00128 
16TR037M1      200          F1             290.5344      1.018         1.01          1.028         1.029        -0.28         -0.287         8.8           19.1          119.7         45.9          263.1         37.9          1.01286       0.99162       0.99551       0.00168       0.00563       0.00606 
16TR037N1      200          F1             329.3223      1.027         1.025         1.052         1.052        -0.034        -0.047         193.6         1.6           102.6         30.9          286.3         59            1.02391       0.99474       0.98135       0.00781       0.01012      -0.00375 
16TR037P1      200          F1             354.1118      1.03          1.03          1.061         1.061        -0.003        -0.018         11.5          8.2           104.6         20.7          261.2         67.6          1.02811       0.99667       0.97522       0.00518       0.01106       0.00576 
16TR037Q1      200          F1             319.9401      1.037         1.047         1.086         1.086         0.12          0.1           11.8          0.7           101.9         11.9          278.7         78.1          1.03824       1.0024        0.95936       0.00771       0.00916      -0.00097 
16TR037R1      200          F1             313.1799      1.04          1.043         1.085         1.085         0.027         0.006         11            2.5           101.4         9.3           266.1         80.4          1.03905       1.0005        0.96045       0.00748       0.00708       0.0022 
16TR037S2      200          F1             244.8962      1.023         1.018         1.042         1.042        -0.112        -0.122         9.3           4.9           101           19.2          265.5         70.1          1.0207        0.99683       0.98246       0.00349       0.0061        0.0024 
16TR037T1      200          F1             330.6373      1.035         1.041         1.077         1.077         0.076         0.058         15.7          2.1           107.1         33.2          282.4         56.7          1.0331        0.99273       0.97417       0.01154       0.01786      -0.00262 
16TR037U1      200          F1             336.444       1.024         1.02          1.044         1.044        -0.108        -0.118         9.8           5.3           104.1         38.6          273.3         50.9          1.02164       0.99139       0.98697       0.00449       0.00974       0.00166 
16TR037W1      200          F1             326.9067      1.028         1.015         1.044         1.044        -0.29         -0.3           16.2          8.2           111.2         30.9          273           57.8          1.02081       0.99361       0.98559       0.00752       0.00785       0.00342 
16TR037X1      200          F1             292.5644      1.039         1.042         1.082         1.082         0.035         0.016         22            5.3           114.2         23.2          280           66.2          1.03325       0.99946       0.9673        0.01444       0.01588       0.00072 
16TR037Y1      200          F1             268.5806      1.035         1.033         1.069         1.069        -0.018        -0.034         16            3.7           107.1         17.5          274.3         72.1          1.03111       0.9988        0.97009       0.00935       0.01006       0.00144 
16TR037Z1      200          F1             316.7668      1.029         1.037         1.066         1.067         0.117         0.102         21.1          2.4           111.8         15.6          282.5         74.2          1.02709       1.00339       0.96952       0.01022       0.00949      -0.00088 
16TR039B1      423          F1             93.59103      1.044         1.037         1.083         1.083        -0.082        -0.101         13.1          7.8           105.7         17.8          260.3         70.5          1.03799       0.99565       0.96636       0.00886       0.01246       0.00767 
16TR039C1      423          F1             176.5779      1.031         1.015         1.046         1.047        -0.346        -0.355         11.3          13.9          110.8         33.6          262.3         52.8          1.0221        0.99063       0.98728       0.00481       0.00828       0.00789 
16TR039D1      423          F1             168.1666      1.039         1.045         1.086         1.086         0.066         0.045         9.5           8.3           100.8         8.7           236.5         77.9          1.03825       1.00098       0.96077       0.00544       0.0083        0.01043 
16TR039E2      423          F1             254.705       1.034         1.039         1.075         1.075         0.064         0.046         4.3           3.3           274.2         1.6           158.6         86.4          1.03519       1.00128       0.96352       0.00261      -0.00073       0.0042 
16TR039F1      423          F1             188.5723      1.027         1.038         1.066         1.067         0.16          0.144         358.6         8.8           92.6          24.1          249.9         64.2          1.02908       0.99695       0.97397      -0.0029        0.01342       0.00909 
16TR039G2      423          F1             208.3198      1.028         1.022         1.05          1.05         -0.114        -0.126         6.2           7.2           99.1          22.1          259           66.7          1.02458       0.99503       0.98039       0.00226       0.008         0.0049 
16TR039H2      423          F1             237.6244      1.034         1.049         1.085         1.085         0.179         0.159         8.5           8.2           100.9         16.3          252.7         71.7          1.03651       1.00079       0.96271       0.00355       0.01407       0.00893 
16TR039I1      423          F1             219.1035      1.03          1.037         1.068         1.068         0.099         0.083         3.6           2.6           94.6          21.6          267.1         68.3          1.03163       0.99707       0.9713        0.00161       0.01225       0.00196 
16TR039J1      423          F1             161.534       1.039         1.028         1.067         1.068        -0.167        -0.183         11.8          10.1          104.7         15.8          250.5         71.2          1.03154       0.99513       0.97333       0.00663       0.00904       0.00922 
16TR039K1      423          F1             175.9388      1.03          1.03          1.061         1.061         0.007        -0.008         12.9          9.6           106.7         21.7          260.5         66.1          1.02716       0.99662       0.97623       0.00549       0.01176       0.00654 
16TR039L2      423          F1             247.7191      1.029         1.03          1.061         1.061         0.016         0.002         8.9           1.7           99.7          25.5          275.3         64.4          1.02868       0.99527       0.97605       0.005         0.01159      -0.00017 
16TR039M1      423          F1             210.3965      1.025         1.029         1.055         1.055         0.074         0.061         6.1           5.4           99.1          28.5          266.3         60.9          1.02583       0.99465       0.97952       0.00224       0.01236       0.00313 
16TR039N1      423          F1             207.5178      1.032         1.021         1.054         1.054        -0.2          -0.213         8.3           3.4           99.4          18.1          267.9         71.5          1.02749       0.99482       0.97769       0.00446       0.00651       0.00211 
16TR039P1      423          F1             203.383       1.035         1.036         1.072         1.072         0.019         0.002         6             7.7           98.3          16.5          252           71.7          1.03325       0.99731       0.96944       0.00254       0.01033       0.00776 
16TR039Q1      423          F1             169.1236      1.036         1.047         1.085         1.085         0.128         0.108         32.8          42.4          133.8         11.9          236           45.1          1.0099        0.99329       0.99681      -0.0014        0.02851       0.02783 
16TR039R1      423          F1             208.7255      1.036         1.02          1.057         1.057        -0.268        -0.281         180.3         2.8           89.5          16.3          279.8         73.4          1.03013       0.99325       0.97662       0.00048       0.00535      -0.00266 
16TR039S1      423          F1             237.5079      1.035         1.042         1.078         1.078         0.085         0.066         6             2.5           96.6          14.4          266.3         75.4          1.03635       0.9995        0.96416       0.00347       0.00993       0.00215 
16TR039T1      423          F1             116.3441      1.036         1.045         1.083         1.083         0.113         0.094         6.8           4.1           98.3          19.5          265.5         70.1          1.03766       0.99797       0.96437       0.00382       0.01415       0.00359 
16TR039U1      423          F1             104.0065      1.027         1.039         1.067         1.068         0.173         0.158         6.7           4.7           99.5          30.9          268.9         58.7          1.03027       0.99363       0.9761        0.00296       0.01698       0.00255 
16TR039X1      423          F1             112.0582      1.033         1.041         1.075         1.075         0.113         0.095         5.4           7.9           98.7          22.5          257.2         66            1.03379       0.99635       0.96986       0.00157       0.01476       0.0077 
16TR041A1      423          F1             82.70865      1.027         1.018         1.045         1.045        -0.208        -0.218         188.2         7.5           93.7          31.1          290.2         57.8          1.02214       0.993         0.98486       0.00534       0.00682      -0.00613 
16TR041B1      423          F1             141.0553      1.022         1.009         1.031         1.032        -0.435        -0.441         18.7          3.1           110.5         30            283.3         59.8          1.01505       0.99572       0.98923       0.00712       0.00398       0.00028 
16TR041C2      423          F1             108.8765      1.025         1.013         1.038         1.039        -0.293        -0.301         280.4         11.7          149           72.6          13            12.7          0.98502       1.01841       0.99657      -0.00694      -0.00543      -0.00188 
16TR041D1      423          F1             92.50354      1.03          1.016         1.046         1.047        -0.29         -0.3           188.5         3.7           96.1          32.7          284.2         57.1          1.02395       0.99168       0.98437       0.00542       0.00675      -0.00366 
16TR041E1      423          F1             218.7214      1.024         1.01          1.034         1.035        -0.41         -0.417         188.2         2.6           96.7          30.5          282.7         59.4          1.01839       0.99343       0.98817       0.0039        0.00402      -0.00201 
16TR041F1      423          F1             236.8484      1.024         1.013         1.038         1.038        -0.285        -0.293         13.7          0.2           103.9         34.5          283.5         55.5          1.01885       0.99372       0.98742       0.00651       0.00599      -0.00136 
16TR041G1      423          F1             185.5366      1.028         1.008         1.036         1.038        -0.532        -0.538         188.4         5.6           96.2          22            291.8         67.2          1.02017       0.99307       0.98676       0.0044        0.00236      -0.00373 
16TR041I1      423          F1             203.9469      1.022         1.011         1.034         1.034        -0.32         -0.328         187.1         7.7           92.4          31.3          289.4         57.6          1.01742       0.99381       0.98876       0.00367       0.00443      -0.0046 
16TR041J1      423          F1             133.4647      1.022         1.013         1.036         1.036        -0.239        -0.248         186.2         7.6           91.4          32            288           56.9          1.01807       0.99376       0.98817       0.00349       0.00546      -0.00475 
16TR041K2      423          F1             191.2679      1.02          1.009         1.029         1.03         -0.384        -0.39          12.7          4.7           107.6         46            278.2         43.7          1.01521       0.99265       0.99214       0.00495       0.00474       0.00098 
16TR041L1      423          F1             112.9596      1.024         1.009         1.033         1.034        -0.464        -0.47          12.9          2.8           104.3         26.7          277.5         63.1          1.01764       0.99433       0.98803       0.00547       0.00373       0.00067 
16TR041M1      423          F1             208.7355      1.024         1.009         1.034         1.035        -0.464        -0.471         15.8          5.4           108           22.8          273.3         66.5          1.01714       0.9952        0.98766       0.0064        0.00382       0.00199 
16TR041N1      423          F1             222.454       1.028         1.014         1.042         1.043        -0.337        -0.346         187.7         5.7           95.2          23.9          290.2         65.4          1.02205       0.99365       0.98431       0.00443       0.00445      -0.00448 
16TR041P1      423          F1             104.9633      1.023         1.008         1.031         1.032        -0.457        -0.463         13.9          4.2           105           14.3          268           75.1          1.01646       0.99596       0.98757       0.00524       0.00247       0.00167 
16TR041R1      423          F1             173.6944      1.021         1.009         1.03          1.03         -0.393        -0.399         17.2          15.2          123.4         45.7          273.8         40.3          1.01351       0.99266       0.99383       0.00573       0.00588       0.00468 
16TR043A1      423          F1             91.69453      1.031         1.038         1.07          1.07          0.106         0.089         183.5         6.5           74.8          70.5          275.7         18.3          1.03183       0.9694        0.99876       0.00508       0.01068      -0.00452 
16TR043B1      423          F1             141.1064      1.026         1.028         1.055         1.055         0.027         0.014         184.4         6.4           92.9          13.3          299.6         75.1          1.02561       0.99906       0.97533       0.00274       0.0056       -0.00622 
16TR043C1      423          F1             98.99107      1.025         1.016         1.041         1.042        -0.22         -0.229         184.2         8.4           91.2          20            295.9         68.2          1.02076       0.99529       0.98395       0.00264       0.00458      -0.00593 
16TR043D1      423          F1             115.019       1.019         1.02          1.039         1.039         0.012         0.002         178.9         6.6           85.7          25.7          282.2         63.3          1.01887       0.99631       0.98482       0.00043       0.00763      -0.00384 
16TR043E       423          F1             159.3488      1.03          1.026         1.058         1.058        -0.072        -0.085         181           6.2           86.8          33.7          280.1         55.6          1.02817       0.9905        0.98133       0.00191       0.01169      -0.00536 
16TR043F1      423          F1             241.4051      1.028         1.023         1.052         1.052        -0.086        -0.098         180.2         4.4           87.7          30            277.8         59.6          1.02579       0.99264       0.98157       0.0009        0.00982      -0.00348 
16TR043H2      423          F1             142.0076      1.016         1.006         1.022         1.023        -0.47         -0.474         170.2         22.1          262           4.4           2.8           67.4          1.00918       0.99692       0.99389      -0.00236       0.00086      -0.0076 
16TR043I1      423          F1             99.03046      1.018         1.002         1.02          1.022        -0.766        -0.768         176           15.2          62.1          56.2          274.8         29.4          1.01119       0.99325       0.99556      -0.001         0.0013       -0.00451 
16TR043J1      423          F1             179.999       1.013         1.008         1.021         1.021        -0.237        -0.242         185.5         5.2           94.1          15.3          293.7         73.8          1.01073       0.99796       0.99131       0.00142       0.00179      -0.00197 
16TR044A1      200          F1             308.6669      1.035         1.008         1.043         1.046        -0.605        -0.611         3.1           8.4           94.8          11.2          237.2         75.9          1.02468       0.99107       0.98425       0.0016        0.00191       0.006 
16TR044B1      200          F1             421.6442      1.016         1.046         1.063         1.065         0.465         0.453         184.5         61.5          351.5         27.9          84.4          5.5           1.01252       0.96587       1.02161      -0.00395      -0.0047       -0.00736 
16TR044C1      200          F1             335.7144      1.039         1.02          1.06          1.061        -0.308        -0.321         173.6         4.5           264.5         11.6          62.9          77.5          1.03134       0.9935        0.97515      -0.00461      -0.00338      -0.00486 
16TR044C1      200          F1             388.6269      1.012         1.044         1.056         1.059         0.567         0.558         43.3          55.9          158.1         15.8          257.2         29.3          1.01052       0.98125       1.00822      -0.00508       0.02146       0.00806 
16TR044D1      200          F1             295.72        1.01          1.015         1.025         1.025         0.229         0.223         153.3         66            310.7         22.4          44.1          8.4           0.99552       0.99503       1.00946      -0.00798       0.00009      -0.00472 
16TR044E1      200          F1             359.0086      1.023         1.028         1.051         1.051         0.095         0.082         336.2         6.4           218.9         76.3          67.6          12.1          1.01661       0.98292       1.00047      -0.0175       -0.00615       0.00021 
16TR044G1      200          F1             405.0908      1.033         1.033         1.067         1.067        -0.007        -0.023         341.2         61.9          168.5         27.9          76.9          3             1.00448       0.9703        1.02522      -0.00921      -0.00605       0.01267 
16TR044H1      200          F1             213.9178      1.024         1.021         1.045         1.045        -0.074        -0.085         354.9         0             84.9          34.7          264.8         55.3          1.02237       0.99249       0.98514      -0.00271       0.00937       0.00086 
16TR044H1      200          F1             374.0542      1.023         1.031         1.055         1.055         0.159         0.146         123.3         69.9          263.4         15.7          356.9         12.2          0.9743        1.00438       1.02132       0.00037       0.0065       -0.01036 
16TR044I1      200          F1             226.8224      1.032         1.004         1.036         1.04         -0.779        -0.783         159           13.1          68.3          3.1           325.3         76.5          1.01677       0.99453       0.98871      -0.00996       0.003        -0.00724 
16TR044I1      200          F1             461.9553      1.02          1.029         1.05          1.05          0.194         0.182         48.7          6.2           153.3         66.8          316.2         22.2          0.9987        1.00224       0.99906       0.02201       0.00855      -0.00586 
16TR044J1      200          F1             234.1984      1.037         1.004         1.042         1.046        -0.785        -0.789         182.6         5.8           90            23.7          285.5         65.5          1.02566       0.98848       0.98586       0.00185       0.00142      -0.00418 
16TR044K1      200          F1             112.4258      1.031         1.009         1.04          1.042        -0.551        -0.558         178           3.8           80.4          63.5          269.8         26.1          1.0232        0.98569       0.99111      -0.0011        0.00352      -0.002 
16TR044L1      200          F1             168.6779      1.034         1.001         1.035         1.04         -0.951        -0.952         179.9         9.2           71.2          63.2          274.2         25            1.02193       0.98834       0.98973      -0.00003       0.00033      -0.00534 
16TR044M1      200          F1             194.7367      1.022         1.019         1.041         1.041        -0.068        -0.078         191           9.6           98.7          13.2          316           73.5          1.01854       0.999         0.98246       0.00472       0.00282      -0.00716 
16TR044N1      200          F1             198.6738      1.037         1.01          1.047         1.049        -0.578        -0.586         180.4         4.9           271.2         9.3           63.1          79.5          1.02713       0.99078       0.98209       0.00013      -0.00155      -0.00385 
16TR044P1      200          F1             169.4697      1.04          1.003         1.043         1.048        -0.862        -0.865         356           2.3           264.5         32.3          89.6          57.6          1.02692       0.98721       0.98587      -0.00277      -0.0014        0.00158 
