Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,
7.5,cover,cover,cover,,,,,,,,,,16TR024,B,1147.9
4.5,si,vfss,grey,,,,,,,,,,16TR024,C,1148.03
9,cover,cover,cover,,,,,,,,,,16TR024,D,1148.12
18.9,si,fss,grey,,,,,,,,,,16TR024,E,1148.18
77,cover,cover,cover,,12,,,,,,,,16TR024,F,1148.5
25.5,si,fss,grey,,,,,,,,,,16TR024,G,1148.69
12,cover,cover,cover,,,,,,,,,,16TR024,H,1148.78
37.5,si,fss,grey,tectonized,,,,,,,,,16TR024,I,1148.9
19,cover,cover,cover,,13,,,,,,,,16TR024,J,1149.06
9,si,fss,grey,,,,,,,,,,16TR025,A,1149.94
56,cover,cover,cover,,14,,,,,,,,16TR025,B,1150.06
27.3,si,fss,grey,,15,,,,,,,,16TR025,C,1150.24
4.5,si,fss,grey,,,,,,,,,,16TR025,D,1150.36
1.5,cover,cover,cover,,,,,,,,,,16TR025,E,1150.86
101.6,si,di,swatch,,16,,,,,,,,16TR025,F,1150.97
5,si,sts,black,concretions,,,,,,,,,16TR025,G,1151.05
,,,,,,,,,,,,,16TR025,H,1151.14
,,,,,,,,,,,,,16TR025,I,1152.04
,,,,,,,,,,,,,16TR025,J,1152.16
,,,,,,,,,,,,,16TR025,K,1152.27
,,,,,,,,,,,,,16TR026,A,1155.9
,,,,,,,,,,,,,16TR026,B,1156.02
,,,,,,,,,,,,,16TR026,C,1156.12
,,,,,,,,,,,,,16TR026,D,1156.24
,,,,,,,,,,,,,16TR026,E,1156.5
,,,,,,,,,,,,,16TR026,F,1156.75
,,,,,,,,,,,,,16TR026,G,1156.83
,,,,,,,,,,,,,16TR026,H,1156.92
,,,,,,,,,,,,,16TR026,I,1157.01
,,,,,,,,,,,,,16TR026,J,1157.08
,,,,,,,,,,,,,16TR027,A,988.58
,,,,,,,,,,,,,16TR027,B,988.73
,,,,,,,,,,,,,16TR027,C,988.93
,,,,,,,,,,,,,16TR027,D,989.19
,,,,,,,,,,,,,16TR027,E,989.27
,,,,,,,,,,,,,16TR027,F,991.27
,,,,,,,,,,,,,16TR027,G,991.41
,,,,,,,,,,,,,16TR027,H,991.49
,,,,,,,,,,,,,16TR027,I,991.56
,,,,,,,,,,,,,16TR027,J,991.61
,,,,,,,,,,,,,16TR027,K,991.77
