tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
TR035	Luoman2	TR035-AA:TR035-A:TR035-BB:TR035-B:TR035-CC:TR035-C:TR035-DD:TR035-D:TR035-FF:TR035-F:TR035-G:TR035-HH:TR035-H:TR035-I:TR035-JJ:TR035-J:TR035-KK:TR035-K:TR035-LL:TR035-L:TR035-NN:TR035-N:TR035-PP:TR035-P:TR035-SS:TR035-TT:TR035-T:TR035-U:TR035-W:TR035-X	TR035-AAa:TR035-Aa:TR035-BBa:TR035-Ba:TR035-CCa:TR035-Ca:TR035-DDa:TR035-Da:TR035-FFa:TR035-Fa:TR035-Ga:TR035-HHa:TR035-Ha:TR035-Ia:TR035-JJa:TR035-Ja:TR035-KKa:TR035-Ka:TR035-LLa:TR035-La:TR035-NNa:TR035-Na:TR035-PPa:TR035-Pa:TR035-SSa:TR035-TTa:TR035-Ta:TR035-Ua:TR035-Wa:TR035-Xa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    4.8 	LT1	   10.1 	   43.7 	    31 	30	30 	0 	n	29.0562 	0	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	i	    6.0 	    3.7 	   80.7 	  211.7 	30 
TR035	Luoman2	TR035-AA:TR035-DD:TR035-D:TR035-FF:TR035-GG:TR035-G:TR035-HH:TR035-II:TR035-JJ:TR035-KK:TR035-K:TR035-LL:TR035-NN:TR035-N:TR035-PP:TR035-TT:TR035-T:TR035-U:TR035-Y:TR035-Z	TR035-AAa:TR035-DDa:TR035-Da:TR035-FFa:TR035-GGa:TR035-Ga:TR035-HHa:TR035-IIa:TR035-JJa:TR035-KKa:TR035-Ka:TR035-LLa:TR035-NNa:TR035-Na:TR035-PPa:TR035-TTa:TR035-Ta:TR035-Ua:TR035-Ya:TR035-Za	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   18.2 	HT1	   56.9 	   70.1 	     4 	20	20 	0 	n	15.4597 	100	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   31.4 	   27.0 	   41.5 	  149.8 	20 
TR035	Luoman2	TR035-AA:TR035-A:TR035-BB:TR035-B:TR035-CC:TR035-C:TR035-DD:TR035-D:TR035-FF:TR035-F:TR035-G:TR035-HH:TR035-H:TR035-I:TR035-JJ:TR035-J:TR035-KK:TR035-K:TR035-LL:TR035-L:TR035-NN:TR035-N:TR035-PP:TR035-P:TR035-SS:TR035-TT:TR035-T:TR035-U:TR035-W:TR035-X	TR035-AAa:TR035-Aa:TR035-BBa:TR035-Ba:TR035-CCa:TR035-Ca:TR035-DDa:TR035-Da:TR035-FFa:TR035-Fa:TR035-Ga:TR035-HHa:TR035-Ha:TR035-Ia:TR035-JJa:TR035-Ja:TR035-KKa:TR035-Ka:TR035-LLa:TR035-La:TR035-NNa:TR035-Na:TR035-PPa:TR035-Pa:TR035-SSa:TR035-TTa:TR035-Ta:TR035-Ua:TR035-Wa:TR035-Xa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    4.9 	LT1	    9.4 	   23.3 	    30 	30	30 	0 	n	29.0383 	100	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    5.2 	    2.8 	   71.9 	  257.9 	30 
TR036	Luoman2	TR036-C:TR036-E:TR036-K:TR036-M	TR036-Ca:TR036-Ea:TR036-Ka:TR036-Ma	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   80.3 	HT1	    9.6 	   21.8 	     3 	4	2 	2 	n	3.2276 	0	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFP:LP-DC4:DE-FM-LP	g	i	   84.8 	   44.8 	   71.0 	  258.6 	4 
TR036	Luoman2	TR036-A:TR036-B:TR036-D:TR036-E:TR036-G:TR036-H:TR036-I:TR036-J:TR036-K:TR036-M	TR036-Aa:TR036-Ba:TR036-Da:TR036-Ea:TR036-Ga:TR036-Ha:TR036-Ia:TR036-Ja:TR036-Ka:TR036-Ma	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    9.2 	LT1	    6.4 	   42.6 	    29 	10	10 	0 	n	9.6862 	0	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   11.4 	    7.0 	   83.4 	  227.3 	10 
TR036	Luoman2	TR036-C:TR036-E:TR036-K:TR036-M	TR036-Ca:TR036-Ea:TR036-Ka:TR036-Ma	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   80.3 	HT1	    6.6 	  -18.3 	     3 	4	2 	2 	n	3.2271 	100	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFP:LP-DC4:DE-FM-LP:DA-DIR-GEO	g	i	   83.4 	   43.4 	   52.1 	  278.2 	4 
TR036	Luoman2	TR036-A:TR036-B:TR036-D:TR036-E:TR036-G:TR036-H:TR036-I:TR036-J:TR036-K:TR036-M	TR036-Aa:TR036-Ba:TR036-Da:TR036-Ea:TR036-Ga:TR036-Ha:TR036-Ia:TR036-Ja:TR036-Ka:TR036-Ma	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	    9.2 	LT1	  344.8 	  -15.5 	    29 	10	10 	0 	n	9.6855 	100	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    9.5 	    4.9 	   51.2 	  313.3 	10 
TR042	Luoman2	TR042-A:TR042-B:TR042-C:TR042-D:TR042-E:TR042-F:TR042-G:TR042-H:TR042-I:TR042-J:TR042-K:TR042-M:TR042-P:TR042-T	TR042-Aa:TR042-Ba:TR042-Ca:TR042-Da:TR042-Ea:TR042-Fa:TR042-Ga:TR042-Ha:TR042-Ia:TR042-Ja:TR042-Ka:TR042-Ma:TR042-Pa:TR042-Ta	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   11.9 	HT1	  108.8 	  -68.3 	    12 	14	14 	0 	t	12.9314 	0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	   20.0 	   16.9 	  -32.9 	  244.2 	14 
TR042	Luoman2	TR042-C	TR042-Ca	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP		LT1	341.4	33.5		1	1	0	n		0	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	  204.9 	  116.7 	   70.4 	  353.5 	1
TR042	Luoman2	TR042-A:TR042-B:TR042-C:TR042-D:TR042-E:TR042-F:TR042-G:TR042-H:TR042-I:TR042-J:TR042-K:TR042-M:TR042-P:TR042-T	TR042-Aa:TR042-Ba:TR042-Ca:TR042-Da:TR042-Ea:TR042-Fa:TR042-Ga:TR042-Ha:TR042-Ia:TR042-Ja:TR042-Ka:TR042-Ma:TR042-Pa:TR042-Ta	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   11.9 	HT1	  129.1 	  -72.7 	    12 	14	14 	0 	r	12.9315 	100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   21.2 	   18.8 	  -43.8 	  254.2 	14 
TR042	Luoman2	TR042-C	TR042-Ca	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP		LT1	346.6	31.5		1	1	0	n		100	27.9	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	i	  201.8 	  113.2 	   73.6 	  340.3 	1
TR045	Luoman2	TR045-A:TR045-B:TR045-C:TR045-F:TR045-G:TR045-H:TR045-I:TR045-J:TR045-K:TR045-L:TR045-N:TR045-P:TR045-Q	TR045-Aa:TR045-Ba:TR045-Ca:TR045-Fa:TR045-Ga:TR045-Ha:TR045-Ia:TR045-Ja:TR045-Ka:TR045-La:TR045-Na:TR045-Pa:TR045-Qa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   33.9 	HT1	  217.2 	   65.5 	     2 	13	13 	0 	t	8.1201 	0	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	i	   55.1 	   44.7 	   -7.3 	   84.6 	13 
TR045	Luoman2	TR045-B:TR045-C:TR045-D:TR045-E:TR045-F:TR045-G:TR045-L:TR045-N:TR045-P	TR045-Ba:TR045-Ca:TR045-Da:TR045-Ea:TR045-Fa:TR045-Ga:TR045-La:TR045-Na:TR045-Pa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   13.3 	LT1	  348.8 	   27.4 	    16 	9	9 	0 	n	8.4980 	0	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   14.5 	    7.9 	   73.0 	  328.8 	9 
TR045	Luoman2	TR045-A:TR045-B:TR045-C:TR045-F:TR045-G:TR045-H:TR045-I:TR045-J:TR045-K:TR045-L:TR045-N:TR045-P:TR045-Q	TR045-Aa:TR045-Ba:TR045-Ca:TR045-Fa:TR045-Ga:TR045-Ha:TR045-Ia:TR045-Ja:TR045-Ka:TR045-La:TR045-Na:TR045-Pa:TR045-Qa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   34.0 	HT1	  285.9 	   58.1 	     2 	13	13 	0 	t	8.1168 	100	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   50.2 	   37.0 	   28.9 	   49.9 	13 
TR045	Luoman2	TR045-B:TR045-C:TR045-D:TR045-E:TR045-F:TR045-G:TR045-L:TR045-N:TR045-P	TR045-Ba:TR045-Ca:TR045-Da:TR045-Ea:TR045-Fa:TR045-Ga:TR045-La:TR045-Na:TR045-Pa	999.1124077759188	1998.2248155518375	0.0	999.1124077759188	Years Cal BP	   13.3 	LT1	  346.9 	   -5.4 	    16 	9	9 	0 	n	8.4983 	100	28.0	108.8		ACCEPT	pmagpy-3.16.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   13.3 	    6.7 	   56.8 	  313.2 	9 
