Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE
Laurentia,Michikamau Intrusion Combined,2274,Combined Result,"C+,Ro",0,54.5,296,12,54,259.5,11,11,43,6.5,-1.5,217.5,3.3,6.6,4.7,1,11,-1.5,217.5,3.3,6.6,4.7,1,11,-1.5,217.5,3.3,6.6,4.7,8,3,1,1,1,1,1,1,1,0,1,1,6,A,1460,1455,1465,"ok, GPMDB4.6",Michikamau Intrusion Combined,"Emslie,R.F., Irving,E., Park,J.K.",1976,Canad.J.Earth Sci.,13,1052-1057,"Further paleomagnetic results from the Michikamau Intrusion, Labrador"
Laurentia,Tobacco Root Dykes - A combined,new,,,0,47.4,247.6,14,157,225,61.8,61.8,27.9,7.7,8.7,216.1,9.2,11.9,10.5,1,61.8,8.7,216.1,9.2,11.9,10.5,1,61.8,8.7,216.1,9.2,11.9,10.5,43or57,4,0,1,1,1,1,1,0,1,1,0,4,B,1448,1399,1497,", new",Tobacco Root Dykes - A combined,"Harlan, S.S., Geissman, J.W., Snee, L.W.",2008,Precambrian Res.,163,239-264,"Paleomagnetism of Proterozoic mafic dikes from the Tobacco Root Mountains, southwest Montana"
Laurentia,Purcell Lava,9037,Primary,F+,100,49.4,245.1,10,166,26.6,-25.7,25.7,64,6.1,-23.6,215.6,4.8,4.8,4.8,1,-25.7,-23.6,215.6,4.8,4.8,4.8,1,-25.7,-23.6,215.6,4.8,4.8,4.8,100,4,1,1,1,1,1,1,1,1,0,0,5,A,1443,1436,1450,"ok, GPMDB4.6",Purcell Lava,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada"
Laurentia,MEAN Rocky Mountain intrusions,new,"3 studies (Electra Lake 8342, Laramie anorthosite 7493, Sherman 7494)",Ro,0,40.3,253.8,58,434,41.1,-46.6,46.6,1000,0.1,-11.9,217.4,9.7,9.7,9.7,1,-46.6,-11.9,217.4,9.7,9.7,9.7,1,-46.6,-11.9,217.4,9.7,9.7,9.7,MIXED,4,1,1,1,1,1,1,0,0,1,1,5,B,1430,1415,1445,"1415-1445, range of ages",MEAN Rocky Mountain intrusions,LULEÅ WORKING GROUP MEAN,2009,,,,
Laurentia,Mistastin Pluton,2271,,Ro,0,55.6,296.3,7,35,93.5,7,7,48.5,8.8,-1,201.5,7.6,7.6,7.6,1,7,-1,201.5,7.6,7.6,7.6,1,7,-1,201.5,7.6,7.6,7.6,87,2,1,1,1,1,1,0,0,0,1,1,4,B,1425,1400,1450,"ca.1420, unpubl Emslie in Gower+Krogh 02",Mistastin Pluton,"Fahrig,W.F., Jones,D.L.",1976,Canad.J.Earth Sci.,13,832-837,"The paleomagnetism of the Helikian Mistatin pluton, Labrador, Canada"
Laurentia,Nain Anorthosite,2180,,Rb,0,56.5,298.2,21,101,277.8,17.4,17.4,116,3,11.7,206.7,1.6,3.1,2.2,1,17.4,11.7,206.7,1.6,3.1,2.2,1,17.4,11.7,206.7,1.6,3.1,2.2,24,3,1,1,1,1,1,1,0,0,1,1,5,B,1305,1290,1320,"ok; 1305±15, GPMDB4.6",Nain Anorthosite,"Murthy,G.S.",1978,Canad.J.Earth Sci.,15,516-525,Paleomagnetic results from the Nain anorthosite and their tectonic implications
Laurentia,Mackenzie dykes grand mean,B+00,"from Buchan+00, after Buchan+Halls 90",C+,0,65,250,5,1000,243.9,29.7,29.7,1000,0.1,4,190,5,5,5,1,29.7,4,190,5,5,5,1,29.7,4,190,5,5,5,0or100,3,1,1,1,1,1,1,1,1,0,1,6,A,1267,1265,1269,"ca.1267, GPMDB4.6",Mackenzie dykes grand mean,Buchan et al.,2000,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles
Laurentia,Sudbury Dykes Combined,2175,Combined Result,C+,0,46.3,278.6,52,205,265.2,2.3,2.3,1000,3.5,-2.5,192.8,2.5,2.5,2.5,1,2.3,-2.5,192.8,2.5,2.5,2.5,1,2.3,-2.5,192.8,2.5,2.5,2.5,0,3,1,1,1,1,1,1,1,1,0,1,6,A,1237,1232,1242,"ok on age; demag good in Stupavsky+Symons 82; and also maybe Schwarz+Buchan 82, GPMDB4.6",Sudbury Dykes Combined,"Palmer,H.C., Merz,B.A., Hayatsu,A.",1977,Canad.J.Earth Sci.,14,1867-1887,"The Sudbury dikes of the Grenville Front region: paleomagnetism, petrochemistry, and K-Ar age studies"
Laurentia,Abitibi Dykes,7193,,"C+,R? (revision to exclude A1)",0,48,279,7,197,295,65.5,65.5,41,9.5,48.8,215.5,14.1,14.1,14.1,1,65.5,48.8,215.5,14.1,14.1,14.1,1,65.5,48.8,215.5,14.1,14.1,14.1,15or85,4,1,1,1,1,1,1,1,1,1,1,7,A,1141,1139,1143,"1141±2; lomagage should be changed to 1139.  Note dyke A1 no longer part of swarm: redated by Halls+08 at 2170 Ma, GPMDB4.6",Abitibi Dykes,"Ernst,R.E., Buchan,K.L.",1993,Canad.J.Earth Sci.,30,1886-1897,"Paleomagnetism of the Abitibi dyke swarm, southern Superior Province, and implications for the Logan Loop"
Laurentia,MEAN Nipigon sills and lavas,new,"8-unit mean of: Inspiration sills, Pillar Lake lava, Seagull intrusion (Borradaile+06), Nipigon sills (Middleton+04), Logan sills R x3 (Pesonen 79, Robertson+Fahrig 71, Palmer 70), Thunder Bay R dykes (Pesonen 79)",C*+,0,49.1,270.9,86,1000,107.6,-70.9,70.9,1000,0.1,47.2,217.8,4,4,4,1,-70.9,47.2,217.8,4,4,4,1,-70.9,47.2,217.8,4,4,4,100,3,1,1,1,1,1,1,1,1,0,1,6,A,1111,1107,1115,"range of ages with uncertainties, Davis+Sutcliffe 85; Heaman+07",MEAN Nipigon sills and lavas,LULEÅ WORKING GROUP MEAN,2009,,,,
Laurentia,Lower Osler volcanics -R,9515,,Ro,100,48.8,272.3,30,179,99.3,-68,68,62.2,3.4,40.9,218.6,4.8,4.8,4.8,1,-68,40.9,218.6,4.8,4.8,4.8,1,-68,40.9,218.6,4.8,4.8,4.8,100,4,1,1,1,1,1,1,0,1,1,1,6,A,1108,1105,1111,"interpolated 1109; has to be older then 1107.5 +4/-2 intrusion, Swanson-Hysell et al., 2014 G3",Lower third Osler volcanics -R,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",2014,Geochem. Geophys. Geosyst.,15,2039-2047,
Laurentia,Lowermost Mamainse Point volcanics -R1,new,,G*+,100,47.1,275.3,24,117,112.5,-72.9,72.9,29,0.1,49.5,227,5.3,5.3,5.3,1,-72.9,49.5,227,5.3,5.3,5.3,1,-72.9,49.5,227,5.3,5.3,5.3,100,4,1,1,1,1,1,1,1,1,1,1,7,A,1108,1105,1111,"older than 1107 +/- 2 constraint on Siemens Ck Fm, Swanson-Hysell et al. 2014 Geology",Lowermost Mamainse Point volcanics -R1,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014,Geology,42,475-478,
Laurentia,Middle Osler volcanics -R,new,,Ro,100,48.8,272.4,20,139,105.9,-64.9,64.9,36.5,5.5,42.7,211.3,8.2,8.2,8.2,1,-64.9,42.7,211.3,8.2,8.2,8.2,1,-64.9,42.7,211.3,8.2,8.2,8.2,100,4,1,1,1,1,1,1,0,1,1,1,6,A,1107,1103,1110,"interpolated 1107, Swanson-Hysell et al., 2014 G3",Middle third Osler volcanics -R,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",2014,Geochem. Geophys. Geosyst.,15,2039-2047,
Laurentia,Upper Osler volcanics -R,9514,"incorporates Halls 1974; n.b. uppermost Osler has four flows with N polarity -not used here, but pass of Voo # 6; fold test positive >99% though not stated by authors","Ro,F+",100,48.7,272.4,59,346,110.7,-60.9,60.9,1000,0.1,42.5,201.6,3.7,3.7,3.7,1,-60.9,42.5,201.6,3.7,3.7,3.7,1,-60.9,42.5,201.6,3.7,3.7,3.7,100,4,1,1,1,1,1,1,1,1,1,1,7,A,1105,1103,1107,"Agate Pt rhyolite 1105.3±2.3 U-Pb, interbedded with Lower Osler R sites; Davis+Green 97, Swanson-Hysell et al., 2014 G3",Upper third Osler volcanics -R,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",2014,Geochem. Geophys. Geosyst.,15,2039-2047,
Laurentia,Lower Mamainse Point volcanics -R2,new,,"G*+,R+",100,47.1,275.3,14,57,106.2,-58.3,58.3,69,0.1,37.5,205.2,4.5,4.5,4.5,1,-58.3,37.5,205.2,4.5,4.5,4.5,1,-58.3,37.5,205.2,4.5,4.5,4.5,100,4,1,1,1,1,1,1,1,1,1,1,7,A,1105,1103,1107,"1105 by comparison with Osler R Upper third direction , Swanson-Hysell et al. 2014 Geology",Lower Mamainse Point volcanics -R2,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014,Geology,42,475-478,
Laurentia,"Mamainse Point volcanics -C (lower N, upper R)",new,,"G*+,Ro",100,47.1,275.3,24,96,293.8,47.1,47.1,34,0.1,36.1,189.7,4.9,4.9,4.9,1,47.1,36.1,189.7,4.9,4.9,4.9,1,47.1,36.1,189.7,4.9,4.9,4.9,42,4,1,1,1,1,1,1,1,1,1,1,7,A,1101,1100,1101,"1100.36±0.25 U-Pb z , Swanson-Hysell et al. 2014 Geology","Mamainse Point volcanics -C (lower N, upper R)","Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014,Geology,42,475-478,
Laurentia,Uppermost Mamainse Point volcanics -N,new,,"G*+,R+",100,47.1,275.3,34,198,293.7,37.5,37.5,92,0.1,31.2,183.2,2.5,2.5,2.5,1,37.5,31.2,183.2,2.5,2.5,2.5,1,37.5,31.2,183.2,2.5,2.5,2.5,0,4,1,1,1,1,1,1,1,1,1,1,7,A,1098,1095,1101,"1097; comparison to N Shore volcanic group, Swanson-Hysell et al. 2014 Geology",Uppermost Mamainse Point volcanics -N,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014,Geology,42,475-478,
Laurentia,North Shore lavas -N,new,"recalculated from all N lavas, excluding intrusives, sites above unconformity",Ro,100,46.3,268.7,61,279,293.9,44,44,41.9,0.1,34.5,181.3,2.8,2.8,2.8,1,44,34.5,181.3,2.8,2.8,2.8,1,44,34.5,181.3,2.8,2.8,2.8,0,4,1,1,1,1,1,1,0,1,1,1,6,A,1097,1094,1100,"1098.4±2.0; 1096.6±1.8, Tauxe, L., Kodama, K.P., 2009",North Shore lavas -N,"Tauxe, L., Kodama, K.P.",2009,Phys. Earth Plan. Int.,177,31-45,
Laurentia,Chengwatana Volcanics,8163,,Ro,100,45.4,267.3,8,60,287.5,45.8,45.8,48.5,8,30.9,186.1,6.5,10.3,8.2,1,45.8,30.9,186.1,6.5,10.3,8.2,1,45.8,30.9,186.1,6.5,10.3,8.2,25,4,1,1,1,1,1,1,0,1,1,1,6,B,1095,1093,1097,"1094.6±2.1, Zartman+97",Chengwatana Volcanics,"Kean,W.F., Williams.,I., Chan,L., Feeney,J.",1997,Geophys.Res.Lett.,24,1523-1526,"Magnetism of the Keweenawan age Chengwatana lava flows, northwest Wisconsin"
Laurentia,Portage Lake Volcanics,new,A (MAG),"G*+, F+",100,47,271.2,28,1000,291.2,31.3,31.3,24.5,5.6,26.7,178,3.5,6.3,4.7,1,31.3,26.7,178,3.5,6.3,4.7,1,31.3,26.7,178,3.5,6.3,4.7,0,4,1,1,1,1,1,1,1,1,0,1,6,A,1095,1092,1098,"1095±3, Davis+Paces 90",Portage Lake Volcanics,Hnat et al.,2006,Tectonophysics,425,,
Laurentia,Cardenas Basalts and Intrusions,9073,,"Co,Fo",100,36.1,248.1,16,114,285.5,57,57,33.9,6.4,32,185,6.8,9.3,8,1,57,32,185,6.8,9.3,8,1,57,32,185,6.8,9.3,8,0,4,1,1,1,1,1,1,0,1,0,1,5,B,1091,1086,1096,"1091±5, GPMDB4.6",Cardenas Basalts and Intrusions,"Weil,A.B., Geissman,J.W., Heizler,M., Van der Voo,R.",2003,Tectonophysics,375,199-220,"Paleomagnetism of Middle Proterozoic mafic intrusions and Upper Proterozoic (Nankoweap) red beds from the Lower Grand Canyon Supergroup, Arisona"
Laurentia,Central Arizona diabases -N,new,"note also R group: 4 dykes very steep up (poor A95) + one antipodal direction dyke for each N, R group",,0,33.7,249.2,13,139,274.8,38.7,38.7,30.4,7.6,15.7,175.3,5.4,9.1,7,1,38.7,15.7,175.3,5.4,9.1,7,1,38.7,15.7,175.3,5.4,9.1,7,0,4,1,1,1,1,1,1,0,1,0,1,5,A,1088,1077,1099,"1088±11 in Donadini+12 ext abst (ignoring the 1085 age due to problems with that site, two polarities, 2 ages), Donadini et al 2011",Central Arizona diabases -N,"Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.",2011,Geophysica,47,,
Laurentia,Lake Shore Traps,new,incorporates Diehl et al 1994 CJES,(C+ from Palmer+81; F+ implicit in good grouping after tilt-correction),100,47.6,271.9,31,374,283,35.7,35.7,1000,0.1,23.1,186.4,4,4,4,1,35.7,23.1,186.4,4,4,4,1,35.7,23.1,186.4,4,4,4,0,4,1,1,1,1,1,1,1,1,0,1,6,A,1087,1085,1089,"1087.2±1.6 date in andesite, Kulakov et al 2013",Lake Shore Traps,"Kulakov, E.V., Smirnov, A.V., Diehl, J.F.",2013,Canad.J.Earth Sci.,50,1085-1096,
Laurentia,Schroeder Lutsen Basalts,new,,,100,47.5,269.1,50,378,282.8,42.4,42.4,39.6,3.2,27.1,187.8,3,3,3,1,42.4,27.1,187.8,3,3,3,1,42.4,27.1,187.8,3,3,3,0,4,1,1,1,1,1,1,0,1,0,1,5,A,1090,1083,1092,Unit is younger than 1091.61 ± 0.14 Ma (U-Pb date on intrusion that is unconformably overlain),Schroeder Lutsen Basalts,"Fairchild, Luke M. and Swanson-Hysell, Nicholas L. and Ramezani, Jahandar and Sprain, Courtney J. and Bowring, Samuel A.",2017,Lithosphere,9,117-133,The end of Midcontinent Rift magmatism and the paleogeography of Laurentia
Laurentia,Michipicoten Island Formation,new,,,100,47.7,274.3,23,193,288.3,12,12,30,5.6,17,174.7,4.4,4.4,4.4,1,12,17,174.7,4.4,4.4,4.4,1,12,17,174.7,4.4,4.4,4.4,0,4,1,1,1,1,1,1,0,1,0,0,4,A,1084,1083,1085,"All VGPs between U-Pb zircon dates of 1084.35 ± 0.20 Ma and 1083.52 ± 0.23
Ma; Fairchild et al. 2017",Michipicoten Island Formation,"Fairchild, Luke M. and Swanson-Hysell, Nicholas L. and Ramezani, Jahandar and Sprain, Courtney J. and Bowring, Samuel A.",2017,Lithosphere,9,117-133,The end of Midcontinent Rift magmatism and the paleogeography of Laurentia
Laurentia,Haliburton Intrusions,9165,A Component,,0,45,281.4,17,59,277.5,-71.8,71.8,23,3.8,-32.6,141.9,5.9,6.7,6.3,1,-71.8,-32.6,141.9,5.9,6.7,6.3,1,-71.8,-32.6,141.9,5.9,6.7,6.3,0or100,4,1,1,1,1,1,1,0,0,0,0,3,B,1015,1000,1030,"ok, GPMDB4.6",Haliburton Intrusions,"Warnock,A.C., Kodama,K.P., Zeitler,P.K.",2000,J.Geophys.Res.,105,19435-19453,Using thermochronometry and low-temperature demagnetization to accurately date Precambrian paleomagnetic poles
Laurentia,Tsezotene Sills Combined,5922,Combined Result,Ro,100,63.5,235,17,134,277.2,-3.5,3.5,1000,7,1.6,137.8,5,5,5,1,-3.5,1.6,137.8,5,5,5,1,-3.5,1.6,137.8,5,5,5,5or95,3,1,1,1,1,1,1,0,1,1,1,6,B,778,776,780,"778+/-2, GPMDB4.6",Tsezotene Sills Combined,"Park,J.K., Norris,D.K., Larochelle,A.",1989,Canad.J.Earth Sci.,26,2194-2203,Paleomagnetism and the origin of the Mackenzie Arc of northwestern Canada
Laurentia,Franklin event grand mean,new,Combined Result,C+,0,73,275.4,56,1000,289.1,0.6,0.6,1000,0.1,6.7,162.1,3,3,3,1,0.6,6.7,162.1,3,3,3,1,0.6,6.7,162.1,3,3,3,MIXED,4,1,1,1,1,1,1,1,1,1,0,6,A,724,721,727,"723+4/-2, ",Franklin event grand mean,"Denyszyn,S.W., Halls,H.C., Davis,D.W., Evans,D.A.D.",2009,Canad.J.Earth Sci.,46,689-705,Paleomagnetism and U-Pb Geochronology of Franklin dykes in High Arctic Canada and Greenland: A revised age and paleomagnetic pole constraining block rotations in the Nares Strait region
Laurentia,Long Range Dykes,new,"Dykes 1,2,3,4 and 6",C+,0,53.7,303.3,5,92,110.3,56.8,56.8,1000,14.1,19,355.3,14.8,20.5,17.4,1,56.8,19,355.3,14.8,20.5,17.4,1,56.8,19,355.3,14.8,20.5,17.4,40or60,4,1,1,1,1,1,1,1,1,1,1,7,B,615,613,617,", GPMDB4.6",Long Range Dykes,"Murthy,G.S., Gower,C., Tubett,M., Patzold,R.",1992,Canad.J.Earth Sci.,29,1224-1234,"Paleomagnetism of Eocambrian Long Range dykes and Double Mer Formation from Labrador, Canada"
Laurentia,Baie des Moutons complex,new,A direction,,0,50.8,301,8,87,98.6,78,78,71.1,6.8,42.6,332.7,11.7,12.4,12,1,78,42.6,332.7,11.7,12.4,12,1,78,42.6,332.7,11.7,12.4,12,0or100,4,1,1,1,1,1,1,0,0,0,1,4,B,583,581,585,"583.4±2.0 weighted mean of four hornblende 40Ar–39Ar plateau ages from sites 20 and 44, McCausland et al 2011",Baie des Moutons A,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",2011,Precambrian Res.,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar–39Ar geochronology of the 583Ma Baie des Moutons syenite, Quebec"
Laurentia,Baie des Moutons complex,new,B direction,,0,50.8,301,6,56,163.1,6,6,10.5,21.7,-34.2,321.5,10.9,21.8,15.4,1,6,-34.2,321.5,10.9,21.8,15.4,1,6,-34.2,321.5,10.9,21.8,15.4,20or80,4,1,1,1,0,0,1,0,0,1,0,3,B,583,581,585,"583.4±2.0 weighted mean of four hornblende 40Ar–39Ar plateau ages from sites 20 and 44, McCausland et al 2011",Baie des Moutons B,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",2011,Precambrian Res.,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar–39Ar geochronology of the 583Ma Baie des Moutons syenite, Quebec"
Laurentia,Callander Alkaline Complex,6458,,"C+,R-",0,46.2,280.6,26,205,82.2,82.7,82.7,83,3.1,46.3,301.4,5.9,6.1,6,1,82.7,46.3,301.4,5.9,6.1,6,1,82.7,46.3,301.4,5.9,6.1,6,12or88,4,1,1,1,1,1,1,1,0,1,1,6,B,575,570,580,", GPMDB4.6",Callander Alkaline Complex,"Symons,D.T.A., Chiasson,A.D.",1991,Canad.J.Earth Sci.,28,355-363,Paleomagnetism of the Callander Complex and the Cambrian apparent polar wander path for North America
